sim_time, uav1/rotor_0_joint?0/velocity
387.036, 49.8978
387.04, 49.6979
387.044, 49.3883
387.048, 49.1245
387.052, 48.7419
387.056, 48.3508
387.06, 47.9247
387.064, 47.5988
387.068, 47.3211
387.072, 47.0937
387.076, 46.9277
387.08, 46.9753
387.084, 47.1303
387.088, 47.4148
387.092, 47.6215
387.096, 48.2186
387.1, 48.8072
387.104, 49.3549
387.108, 49.8387
387.112, 50.2415
387.116, 50.5512
387.12, 50.7417
387.124, 50.8112
387.128, 50.792
387.132, 50.7014
387.136, 50.522
387.14, 50.267
387.144, 49.9383
387.148, 49.5653
387.152, 49.1547
387.156, 48.7305
387.16, 48.304
387.164, 47.9034
387.168, 47.5435
387.172, 47.2367
387.176, 47.3373
387.18, 47.4964
387.184, 47.7324
387.188, 47.9037
387.192, 48.2689
387.196, 48.7061
387.2, 49.6943
387.204, 50.2057
387.208, 50.6114
387.212, 51.2327
387.216, 51.6496
387.22, 52.0727
387.224, 52.2767
387.228, 52.1246
387.232, 51.8834
387.236, 51.5665
387.24, 51.1758
387.244, 50.7128
387.248, 50.0398
387.252, 49.2434
387.256, 48.4626
387.26, 47.6859
387.264, 46.9125
387.268, 46.2443
387.272, 45.7026
387.276, 45.306
387.28, 45.0794
387.284, 45.0441
387.288, 45.298
387.292, 45.8092
387.296, 46.2836
387.3, 46.6108
387.304, 47.1407
387.308, 47.749
387.312, 48.38
387.316, 48.9929
387.32, 49.4036
387.324, 49.7362
387.328, 49.6808
387.332, 49.6336
387.336, 49.5376
387.34, 49.3629
387.344, 49.1212
387.348, 48.8131
387.352, 48.4577
387.356, 47.9877
387.36, 47.5222
387.364, 47.0699
387.368, 46.6008
387.372, 46.164
387.376, 45.7824
387.38, 45.4666
387.384, 45.2438
387.388, 45.4426
387.392, 45.7245
387.396, 45.9981
387.4, 46.3687
387.404, 46.7582
387.408, 47.2129
387.412, 47.6808
387.416, 48.1065
387.42, 48.4672
387.424, 48.7119
387.428, 48.7864
387.432, 48.7598
387.436, 48.7093
387.44, 48.5827
387.444, 48.3819
387.448, 48.1644
387.452, 47.8862
387.456, 47.6399
387.46, 47.3464
387.464, 47.087
387.468, 46.8196
387.472, 46.5453
387.476, 46.2651
387.48, 46.0077
387.484, 45.7885
387.488, 45.6109
387.492, 45.4781
387.496, 45.4021
387.5, 45.3745
387.504, 45.3997
387.508, 45.7964
387.512, 45.7941
387.516, 45.8935
387.52, 46.0345
387.524, 46.0248
387.528, 46.0437
387.532, 46.0919
387.536, 46.1269
387.54, 46.2727
387.544, 46.3614
387.548, 46.5462
387.552, 46.6632
387.556, 46.7309
387.56, 46.7111
387.564, 46.6662
387.568, 46.5816
387.572, 46.4817
387.576, 46.3501
387.58, 46.1915
387.584, 46.01
387.588, 45.8739
387.592, 45.7486
387.596, 45.6418
387.6, 45.5509
387.604, 45.5105
387.608, 45.4947
387.612, 45.5213
387.616, 45.5922
387.62, 45.6953
387.624, 45.615
387.628, 45.5744
387.632, 45.5583
387.636, 45.4426
387.64, 45.3531
387.644, 45.2862
387.648, 45.1735
387.652, 45.096
387.656, 45.0485
387.66, 45.0174
387.664, 45.0094
387.668, 44.919
387.672, 44.8234
387.676, 44.7697
387.68, 44.6683
387.684, 44.619
