sim_time, uav1/rotor_0_joint?0/velocity
289.2, 50.3712
289.204, 50.5418
289.208, 50.6484
289.212, 50.7775
289.216, 50.7852
289.22, 50.6768
289.224, 50.5101
289.228, 50.2938
289.232, 50.0445
289.236, 49.7578
289.24, 49.4392
289.244, 49.0934
289.248, 48.7431
289.252, 48.1845
289.256, 47.8014
289.26, 47.475
289.264, 47.2153
289.268, 47.0405
289.272, 46.9565
289.276, 46.9498
289.28, 47.077
289.284, 47.307
289.288, 47.6459
289.292, 48.0641
289.296, 48.5225
289.3, 48.8554
289.304, 49.3551
289.308, 49.7695
289.312, 50.1048
289.316, 50.097
289.32, 50.081
289.324, 50.0674
289.328, 50.0186
289.332, 49.9399
289.336, 49.7986
289.34, 49.6132
289.344, 49.4087
289.348, 49.1788
289.352, 48.9736
289.356, 48.7616
289.36, 48.4696
289.364, 48.2114
289.368, 47.9821
289.372, 47.8888
289.376, 47.5401
289.38, 47.2616
289.384, 47.0613
289.388, 46.9278
289.392, 46.8418
289.396, 46.9469
289.4, 47.1436
289.404, 47.424
289.408, 47.9716
289.412, 48.5069
289.416, 49.1364
289.42, 49.6967
289.424, 50.1895
289.428, 50.5818
289.432, 50.9011
289.436, 51.0813
289.44, 50.9569
289.444, 50.7766
289.448, 50.5486
289.452, 50.1594
289.456, 49.7443
289.46, 49.279
289.464, 48.8362
289.468, 48.3845
289.472, 47.9346
289.476, 47.5327
289.48, 47.1902
289.484, 46.9261
289.488, 46.7383
289.492, 46.6339
289.496, 46.6583
289.5, 46.8308
289.504, 47.5752
289.508, 48.2706
289.512, 48.9304
289.516, 49.547
289.52, 50.1324
289.524, 50.6263
289.528, 50.641
289.532, 50.6188
289.536, 50.5441
289.54, 50.2577
289.544, 50.0136
289.548, 49.6106
289.552, 49.1558
289.556, 48.6661
289.56, 48.1839
289.564, 47.9029
289.568, 47.5799
289.572, 47.2861
289.576, 47.045
289.58, 46.8766
289.584, 46.5567
289.588, 46.3585
289.592, 46.2637
289.596, 46.2573
289.6, 46.2147
289.604, 46.2678
289.608, 46.4439
289.612, 46.6923
289.616, 46.821
289.62, 46.6579
289.624, 46.5931
289.628, 46.6458
289.632, 46.7872
289.636, 47.0963
289.64, 47.3551
289.644, 47.5947
289.648, 47.8374
289.652, 48.0997
289.656, 48.1869
289.66, 48.2503
289.664, 48.2963
289.668, 48.2493
289.672, 48.2
289.676, 48.1394
289.68, 48.0506
289.684, 48.2373
289.688, 48.3728
289.692, 48.4368
289.696, 48.5693
289.7, 48.6483
289.704, 48.7057
289.708, 48.7646
289.712, 49.0481
289.716, 49.2024
289.72, 49.2457
289.724, 49.2348
289.728, 48.8541
289.732, 49.182
289.736, 49.4201
289.74, 49.3463
289.744, 49.3205
289.748, 49.2614
289.752, 49.1832
289.756, 49.098
289.76, 48.9882
289.764, 48.8482
289.768, 48.6919
289.772, 48.5215
289.776, 48.4041
289.78, 48.267
289.784, 48.1315
289.788, 47.9697
289.792, 47.7761
289.796, 47.6204
289.8, 47.5156
289.804, 47.4448
289.808, 47.4124
289.812, 47.4299
289.816, 47.4771
289.82, 47.5801
289.824, 47.741
289.828, 47.9265
289.832, 48.1301
289.836, 48.3295
289.84, 48.5431
289.844, 48.6982
289.848, 48.8452
289.852, 49.4163
289.856, 49.8139
289.86, 50.0682
289.864, 49.9915
289.868, 49.926
289.872, 49.8703
289.876, 49.767
289.88, 49.5955
289.884, 49.3658
289.888, 49.1051
289.892, 48.9201
289.896, 48.5395
289.9, 48.1782
289.904, 48.0281
289.908, 47.8816
289.912, 47.7474
289.916, 47.7074
289.92, 47.713
289.924, 47.8202
289.928, 48.0013
289.932, 48.2188
289.936, 48.4456
289.94, 49.2809
289.944, 49.9392
289.948, 50.4344
289.952, 51.2239
289.956, 51.7973
289.96, 52.1792
289.964, 52.2502
289.968, 52.2036
289.972, 51.9968
289.976, 51.6813
289.98, 51.2639
289.984, 50.7411
289.988, 50.2956
289.992, 49.6281
289.996, 49.1894
290, 48.7319
290.004, 48.2957
290.008, 47.896
290.012, 47.3512
290.016, 46.9149
290.02, 46.5802
290.024, 46.3506
290.028, 46.2293
290.032, 46.1444
290.036, 46.1653
290.04, 46.3696
290.044, 46.518
290.048, 46.9525
290.052, 47.4056
290.056, 47.8895
290.06, 48.3956
290.064, 48.8835
290.068, 49.083
290.072, 49.2623
290.076, 49.444
290.08, 49.576
290.084, 49.5858
290.088, 49.5711
290.092, 49.5028
290.096, 49.3982
290.1, 49.309
290.104, 49.1588
290.108, 48.9193
290.112, 48.6689
290.116, 48.5019
290.12, 48.341
290.124, 48.1761
290.128, 48.3629
290.132, 48.4814
290.136, 48.5846
290.14, 48.8831
290.144, 49.1515
290.148, 49.0896
290.152, 49.046
290.156, 49.009
290.16, 48.9681
290.164, 48.9054
290.168, 48.8055
290.172, 48.6833
290.176, 48.886
290.18, 48.9988
290.184, 49.0979
290.188, 48.9046
290.192, 48.712
290.196, 48.548
290.2, 48.4081
290.204, 48.2704
290.208, 48.1159
290.212, 48.0957
290.216, 48.0691
290.22, 48.2852
290.224, 48.4766
290.228, 48.6671
290.232, 48.5282
290.236, 48.447
290.24, 48.3964
290.244, 48.3533
290.248, 48.1586
290.252, 47.9743
290.256, 47.8357
290.26, 47.7362
290.264, 47.6607
290.268, 47.5964
290.272, 47.5694
290.276, 47.6472
290.28, 47.7725
290.284, 47.8634
290.288, 48.1187
290.292, 48.4416
290.296, 48.7621
290.3, 49.0636
290.304, 49.2826
290.308, 49.2663
290.312, 49.3438
290.316, 49.4
290.32, 49.4064
290.324, 49.3811
290.328, 49.3502
290.332, 49.3053
290.336, 49.2485
290.34, 49.1723
290.344, 49.0887
290.348, 48.9246
290.352, 48.7663
290.356, 48.7242
290.36, 48.6791
290.364, 48.6406
290.368, 48.6263
290.372, 48.6235
290.376, 48.6211
290.38, 48.5355
290.384, 48.4625
290.388, 48.4374
290.392, 48.6043
290.396, 48.5861
290.4, 48.5799
290.404, 48.5874
290.408, 48.61
290.412, 49.2627
290.416, 49.754
290.42, 50.1624
290.424, 50.4761
290.428, 50.7211
290.432, 50.899
290.436, 50.5324
290.44, 50.2477
290.444, 49.9216
290.448, 49.6438
290.452, 49.407
290.456, 49.0473
290.46, 48.6945
290.464, 48.3659
290.468, 48.0859
290.472, 47.8381
290.476, 47.664
290.48, 47.5528
290.484, 47.5137
290.488, 47.5552
290.492, 47.4322
290.496, 47.4016
290.5, 47.4738
290.504, 47.5262
290.508, 47.6846
290.512, 47.9028
290.516, 48.0441
290.52, 48.2671
290.524, 48.5322
290.528, 48.7247
290.532, 48.9332
290.536, 49.5147
290.54, 49.9713
290.544, 50.3373
290.548, 50.2301
290.552, 50.1201
290.556, 49.9614
290.56, 49.7704
290.564, 49.5427
290.568, 49.2836
290.572, 49.0072
290.576, 48.7159
290.58, 48.5048
290.584, 48.3064
290.588, 48.128
290.592, 47.9853
290.596, 47.8729
290.6, 48.1599
290.604, 48.4544
290.608, 48.7542
290.612, 49.0751
290.616, 49.4113
290.62, 49.3296
290.624, 49.2784
290.628, 49.1884
290.632, 49.0838
290.636, 48.9483
290.64, 48.7864
290.644, 48.6206
290.648, 48.7373
290.652, 48.7876
290.656, 48.7897
290.66, 48.6977
290.664, 48.6286
290.668, 48.4768
290.672, 48.3567
290.676, 48.2823
290.68, 48.2189
290.684, 48.1277
290.688, 48.05
290.692, 47.993
290.696, 47.9538
290.7, 47.9296
290.704, 47.8069
290.708, 47.7395
290.712, 47.7006
290.716, 47.8112
290.72, 47.9087
290.724, 48.0139
290.728, 48.1247
290.732, 48.2739
290.736, 48.221
290.74, 48.213
290.744, 48.2349
290.748, 48.2507
290.752, 48.2622
290.756, 48.3222
290.76, 48.3657
290.764, 48.5693
290.768, 48.7344
290.772, 48.8715
290.776, 48.971
290.78, 49.0433
290.784, 49.0958
290.788, 49.1339
290.792, 48.9631
290.796, 48.7897
290.8, 48.6048
290.804, 48.4195
290.808, 48.2243
290.812, 48.1324
290.816, 48.0632
290.82, 48.0136
290.824, 47.9806
290.828, 48.0145
290.832, 48.0907
290.836, 48.2493
290.84, 48.416
290.844, 48.5543
290.848, 48.7407
290.852, 48.8761
290.856, 49.0776
290.86, 49.2927
290.864, 49.4317
290.868, 49.4982
290.872, 49.5121
290.876, 49.499
290.88, 49.4599
290.884, 49.3895
290.888, 49.3203
290.892, 49.2148
290.896, 49.0878
290.9, 48.9517
290.904, 48.8265
290.908, 48.6826
290.912, 48.5415
290.916, 48.4026
290.92, 48.2843
290.924, 48.1927
290.928, 48.1426
290.932, 48.0998
290.936, 48.0819
290.94, 48.1053
290.944, 48.1739
290.948, 48.2581
290.952, 48.3365
290.956, 48.4278
290.96, 48.5285
290.964, 48.636
290.968, 48.7313
290.972, 49.2304
290.976, 49.5929
290.98, 49.8906
290.984, 50.0723
290.988, 50.187
290.992, 49.8699
290.996, 49.5625
291, 49.2356
291.004, 48.9198
291.008, 48.5765
291.012, 48.2839
291.016, 47.9418
291.02, 47.6502
291.024, 47.4203
291.028, 47.2708
291.032, 47.1713
291.036, 47.1329
291.04, 47.1926
291.044, 47.408
291.048, 47.702
291.052, 48.0187
291.056, 48.3519
291.06, 48.6798
291.064, 49.0039
291.068, 49.738
291.072, 50.3055
291.076, 50.7348
291.08, 51.0121
291.084, 51.1447
291.088, 51.1721
291.092, 51.1271
291.096, 50.996
291.1, 50.782
291.104, 50.4883
291.108, 50.1266
291.112, 49.772
291.116, 49.1727
291.12, 48.6063
291.124, 48.0679
291.128, 47.5535
291.132, 47.0872
291.136, 46.7085
291.14, 46.4228
291.144, 46.2444
291.148, 46.1851
291.152, 46.2293
291.156, 46.1723
291.16, 46.2887
291.164, 46.5796
291.168, 47.1005
291.172, 47.5647
291.176, 48.0566
291.18, 48.5513
291.184, 49.0138
291.188, 49.4528
291.192, 50.2359
291.196, 50.8046
291.2, 51.2004
291.204, 51.4018
291.208, 51.3322
291.212, 51.1985
291.216, 50.9917
291.22, 50.7134
291.224, 50.4763
291.228, 50.0049
291.232, 49.4733
291.236, 48.9181
291.24, 48.3708
291.244, 47.663
291.248, 47.3105
291.252, 47.0008
291.256, 46.7183
291.26, 46.5147
291.264, 46.4062
291.268, 46.3602
291.272, 46.3488
291.276, 46.52
291.28, 46.8164
291.284, 47.2035
291.288, 47.6223
291.292, 48.0468
291.296, 48.4754
291.3, 48.8898
291.304, 48.848
291.308, 48.8309
291.312, 48.807
291.316, 48.7495
291.32, 48.6541
291.324, 48.5264
291.328, 48.3711
291.332, 48.211
291.336, 48.0466
291.34, 47.888
291.344, 47.7343
291.348, 47.6126
291.352, 47.5181
291.356, 47.4469
291.36, 47.3956
291.364, 47.3703
291.368, 47.3674
291.372, 47.7412
291.376, 48.0642
291.38, 48.3332
291.384, 48.3394
291.388, 48.3954
291.392, 48.5049
291.396, 48.5671
291.4, 48.7671
291.404, 48.8608
291.408, 48.8772
291.412, 48.7351
291.416, 48.5118
291.42, 48.2938
291.424, 48.043
291.428, 47.7828
291.432, 47.4961
291.436, 47.224
291.44, 46.9828
291.444, 46.7772
291.448, 46.5277
291.452, 46.3616
291.456, 46.35
291.46, 46.4521
291.464, 46.5262
291.468, 46.8208
291.472, 47.0348
291.476, 47.4481
291.48, 47.8859
291.484, 48.3241
291.488, 48.7284
291.492, 49.0735
291.496, 49.3413
291.5, 49.553
291.504, 49.6723
291.508, 49.7245
291.512, 49.6985
291.516, 49.6021
291.52, 49.4921
291.524, 49.3241
291.528, 49.0881
291.532, 48.8777
291.536, 48.652
291.54, 48.4132
291.544, 48.1633
291.548, 47.9132
291.552, 47.7465
291.556, 47.6509
291.56, 47.5787
291.564, 47.5357
291.568, 47.5367
291.572, 47.6062
291.576, 48.2758
291.58, 48.8309
291.584, 49.3028
291.588, 49.6455
291.592, 49.8255
291.596, 49.939
291.6, 49.987
291.604, 49.9687
291.608, 49.8973
291.612, 49.753
291.616, 49.5464
291.62, 49.2868
291.624, 49.0006
291.628, 48.7011
291.632, 48.3808
291.636, 48.0614
291.64, 47.7707
291.644, 47.5137
291.648, 47.304
291.652, 47.3169
291.656, 47.3263
291.66, 47.3675
291.664, 47.7757
291.668, 48.1926
291.672, 48.1797
291.676, 48.2451
291.68, 48.3615
291.684, 48.4975
291.688, 48.5963
291.692, 48.5236
291.696, 48.4338
291.7, 48.3387
291.704, 48.2577
291.708, 48.2351
291.712, 48.1786
291.716, 48.112
291.72, 48.0366
291.724, 47.9724
291.728, 47.9269
291.732, 47.8882
291.736, 47.8645
291.74, 47.8443
291.744, 47.8363
291.748, 47.8754
291.752, 47.9554
291.756, 48.0651
291.76, 48.1619
291.764, 48.2322
291.768, 48.3005
291.772, 48.8144
291.776, 49.1877
291.78, 49.4587
291.784, 49.6555
291.788, 49.417
291.792, 49.1951
291.796, 49.0061
291.8, 48.7057
291.804, 48.3847
291.808, 48.0555
291.812, 47.71
291.816, 47.3784
291.82, 47.0959
291.824, 46.8737
291.828, 46.7214
291.832, 46.6474
291.836, 46.651
291.84, 46.7567
291.844, 46.9883
291.848, 47.3285
291.852, 47.7302
291.856, 48.1424
291.86, 48.5449
291.864, 48.9232
291.868, 49.2666
291.872, 49.2342
291.876, 49.2157
291.88, 49.393
291.884, 49.453
291.888, 49.9437
291.892, 50.2141
291.896, 50.3244
291.9, 50.3701
291.904, 50.3509
291.908, 50.3345
291.912, 50.2555
291.916, 49.826
291.92, 49.4602
291.924, 49.2041
291.928, 48.9116
291.932, 48.588
291.936, 48.2473
291.94, 47.9292
291.944, 47.658
291.948, 47.6772
291.952, 47.7255
291.956, 47.8466
291.96, 48.072
291.964, 48.339
291.968, 48.636
291.972, 48.5853
291.976, 48.5607
291.98, 48.5397
291.984, 48.5218
291.988, 48.6311
291.992, 48.6933
291.996, 48.7041
292, 48.6897
292.004, 48.7703
292.008, 48.7944
292.012, 48.7202
292.016, 48.6385
292.02, 48.5596
292.024, 48.4737
292.028, 48.382
292.032, 48.2853
292.036, 48.1472
292.04, 48.0202
292.044, 48.6797
292.048, 49.1758
292.052, 49.5361
292.056, 49.8149
292.06, 50.0517
292.064, 50.2581
292.068, 50.408
292.072, 50.4652
292.076, 50.4133
292.08, 50.0906
292.084, 49.7227
292.088, 49.3257
292.092, 48.9038
292.096, 48.47
292.1, 47.9054
292.104, 47.3778
292.108, 46.919
292.112, 46.1473
292.116, 45.5269
292.12, 45.0632
292.124, 44.7515
292.128, 44.5788
292.132, 44.3666
292.136, 44.41
292.14, 44.7511
292.144, 45.3256
292.148, 46.0523
292.152, 46.8896
292.156, 47.7899
292.16, 48.7017
292.164, 49.1231
292.168, 49.6009
292.172, 50.0168
292.176, 50.3875
292.18, 50.5707
292.184, 50.5833
292.188, 50.5047
292.192, 50.354
292.196, 50.1328
292.2, 49.8515
292.204, 49.7789
292.208, 49.6242
292.212, 49.4273
292.216, 49.2039
292.22, 49.0599
292.224, 48.9279
292.228, 48.8154
292.232, 48.5617
292.236, 48.327
292.24, 48.1177
292.244, 48.0693
292.248, 48.0188
292.252, 47.9757
292.256, 48.0625
292.26, 48.1428
292.264, 48.0907
292.268, 48.0648
292.272, 48.0614
292.276, 48.0903
292.28, 48.0181
292.284, 47.9473
292.288, 47.8684
292.292, 48.0362
292.296, 48.1409
292.3, 48.2169
292.304, 48.272
292.308, 48.5529
292.312, 48.8256
292.316, 49.0237
292.32, 49.1503
292.324, 49.0885
292.328, 49.0266
292.332, 48.9459
292.336, 48.7658
292.34, 48.5752
292.344, 48.3663
292.348, 48.1141
292.352, 47.862
292.356, 47.6007
292.36, 47.3688
292.364, 47.1712
292.368, 47.0121
292.372, 46.9043
292.376, 46.8589
292.38, 46.8904
292.384, 47.0337
292.388, 47.2753
292.392, 47.468
292.396, 47.6939
292.4, 47.9439
292.404, 48.2115
292.408, 48.4918
292.412, 48.7469
292.416, 48.9321
292.42, 49.0495
292.424, 49.341
292.428, 49.484
292.432, 49.5533
292.436, 49.4598
292.44, 49.3523
292.444, 49.2606
292.448, 49.1175
292.452, 48.912
292.456, 48.6812
292.46, 48.4381
292.464, 48.2031
292.468, 47.8822
292.472, 47.6087
292.476, 47.3571
292.48, 47.1519
292.484, 46.9214
292.488, 46.7714
292.492, 46.6435
292.496, 47.3532
292.5, 48.0062
292.504, 48.4804
292.508, 49.0138
292.512, 49.4872
292.516, 49.9685
292.52, 50.3869
292.524, 50.7078
292.528, 50.9065
292.532, 50.9303
292.536, 50.8654
292.54, 50.745
292.544, 50.6053
292.548, 50.3748
292.552, 50.0949
292.556, 49.7449
292.56, 49.3631
292.564, 49.0007
