time,rad_s
78.468,45.7886
78.472,44.3839
78.476,43.1493
78.48,42.1159
78.484,41.3002
78.488,40.7259
78.492,40.6264
78.496,40.8135
78.5,41.3794
78.504,42.289
78.508,43.2764
78.512,44.2514
78.516,45.183
78.52,45.9971
78.524,46.915
78.528,47.5643
78.532,47.8295
78.536,47.8674
78.54,47.8452
78.544,47.6871
78.548,47.3946
78.552,46.9783
78.556,46.3172
78.56,45.6057
78.564,44.9995
78.568,44.2043
78.572,43.5641
78.576,42.9906
78.58,42.5577
78.584,42.263
78.588,42.1233
78.592,42.1777
78.596,42.5612
78.6,42.9601
78.604,43.6629
78.608,44.586
78.612,45.48
78.616,46.4906
78.62,47.3965
78.624,48.3125
78.628,49.184
78.632,49.9889
78.636,50.6594
78.64,51.2498
78.644,51.7131
78.648,52.0839
78.652,52.336
78.656,52.4676
78.66,52.5116
78.664,52.5012
78.668,52.2044
78.672,51.9245
78.676,51.5559
78.68,51.121
78.684,50.732
78.688,50.4189
78.692,50.2263
78.696,50.2014
78.7,50.4714
78.704,51.0632
78.708,51.9573
78.712,53.1053
78.716,54.0594
78.72,54.8383
78.724,55.7824
78.728,56.7602
78.732,57.6767
78.736,58.4453
78.74,59.0378
78.744,59.4508
78.748,59.699
78.752,59.776
78.756,59.6111
78.76,59.3315
78.764,58.3505
78.768,57.3568
78.772,56.3429
78.776,55.3303
78.78,54.3558
78.784,53.321
78.788,52.4577
78.792,51.8333
78.796,51.4498
78.8,51.3459
78.804,51.6465
78.808,52.3463
78.812,52.9921
78.816,53.9425
78.82,54.9766
78.824,55.9856
78.828,57.0966
78.832,58.2302
78.836,59.2598
78.84,60.1277
78.844,60.7923
78.848,60.7743
78.852,60.313
78.856,59.6969
78.86,58.9862
78.864,58.0834
78.868,57.0729
78.872,55.9889
78.876,54.8518
78.88,53.7714
78.884,52.7207
78.888,51.8438
78.892,51.18
78.896,50.4936
78.9,50.1128
78.904,49.7882
78.908,50.0157
78.912,50.4731
78.916,51.3556
78.92,52.5124
78.924,53.5072
78.928,54.6767
78.932,55.8871
78.936,57.0241
78.94,58.0044
78.944,58.7163
78.948,59.1299
78.952,59.1896
78.956,58.7578
78.96,58.1484
78.964,57.629
78.968,56.9264
78.972,55.6778
78.976,54.2889
78.98,52.8733
78.984,51.3791
78.988,49.9759
78.992,48.6873
78.996,47.5798
79.0,46.7103
79.004,46.1457
79.008,45.7759
79.012,45.7578
79.016,46.3313
79.02,46.7995
79.024,47.7584
79.028,49.0051
79.032,50.4263
79.036,51.8884
79.04,53.2597
79.044,54.4446
79.048,55.3911
79.052,56.0784
79.056,56.3538
79.06,55.5704
79.064,54.6703
79.068,53.6434
79.072,52.4619
79.076,51.2137
79.08,49.8715
79.084,48.57
79.088,47.3031
79.092,46.1493
79.096,45.3518
79.1,44.7464
79.104,44.2304
79.108,44.1065
79.112,44.0008
79.116,44.5736
79.12,45.5054
79.124,46.6637
79.128,47.9348
79.132,49.2534
