foo,time,x,y,z
0,0,-0.11516888377058053,-0.11799535682409505,1.6770851528302868
1,1,-0.11311928441244638,-0.12049034076323499,1.6768611244631677
2,2,-0.11288523950824111,-0.12346187471070352,1.6683291766091293
3,3,-0.1148452697647525,-0.1127793488257408,1.664538895349982
4,4,-0.10701684856798017,-0.12672276298198662,1.6533618098299427
5,5,-0.10964251287180686,-0.12346004518049973,1.6559931768179672
6,6,-0.10883334590961655,-0.12053497648425429,1.666814005698898
7,7,-0.11010961977606902,-0.12219907776435765,1.6659730956887164
8,8,-0.10604287256299004,-0.12472463428977129,1.6703020764965186
9,9,-0.11104868626811988,-0.12224417223081971,1.6803868482414277
10,10,-0.11332236235901647,-0.12252692242352063,1.6783365489215638
11,11,-0.11040031813651612,-0.12115883742395421,1.6774803561473064
12,12,-0.10740366580393454,-0.1217326628762861,1.6730243838424008
13,13,-0.11428778564962605,-0.12094351005580542,1.6747504371640967
14,14,-0.11078157593777771,-0.12714864515871552,1.6735485811792683
15,15,-0.10918194350201138,-0.11993942384453436,1.6721793808270642
16,16,-0.11602300533883678,-0.11474101694144073,1.674475210054554
17,17,-0.1151414608406597,-0.12025702354285232,1.6697696599184386
18,18,-0.11420495598070121,-0.10881896166471651,1.6813250712633832
19,19,-0.11207387088744905,-0.11911343778126787,1.6816217834996117
20,20,-0.11159307440017828,-0.1095080946483193,1.6887451766804917
21,21,0.00092892159706219,0.008310117661307046,2.190649788549813
22,22,-0.005144159673921836,-0.012133233834754013,3.6167023194863495
23,23,-0.014629332391366214,-0.00882070828939144,5.792156664156326
24,24,-0.005715179560834665,-0.007041287693164595,7.866249362305965
25,25,0.0023825293332128033,-0.0028007984549470338,9.382613053409322
26,26,0.007211038936174061,0.004319397302554916,9.977484092570236
27,27,0.011480241798199353,0.003996876644988072,10.057088403364743
28,28,0.006242930904917795,-0.0095564999728305,10.036092397130307
29,29,0.0016234707277779027,-0.006817439843097489,10.003892862577615
30,30,-0.003662235128150044,-0.012604298078544764,9.992437331494662
31,31,0.0003727926565680367,-0.007773907061736614,9.994325869761983
32,32,-0.00038405889920993666,-0.003427176272864958,9.989732739704113
33,33,0.003947520366801452,-0.005771951196182545,9.992278538490773
34,34,0.003609330918029456,-0.00420773104993681,9.991973929716023
35,35,0.0033556904597752007,-0.0018469126005932917,10.000182661883933
36,36,0.008594794252746132,0.00399482371539873,10.00412701220984
37,37,0.010890466620979734,0.00487921189976056,10.010255245368509
38,38,0.011069295154989469,0.0017942345524319476,10.007499542178573
39,39,0.00792075467562804,-0.0028339831129384156,10.002586430104552
40,40,0.004464275271073239,0.0020342598978803114,10.003016229293983
41,41,-0.0017551776283497222,0.0009862397640010567,9.993400468100793
42,42,0.00354648074763712,0.013368681337884944,9.992447956683739
43,43,0.012899263069410501,0.012833283867225606,9.99067900991237
44,44,0.010871730035005554,-0.00020862638474688708,9.99964361581291
45,45,0.008776133883993089,0.011789428777823721,9.992826058746077
46,46,0.007694630710555554,0.01296716450713871,9.99644201265611
47,47,0.009256151002374672,0.009789290565288261,9.994727209532918
48,48,0.004494196161616108,0.004665445123247888,10.002680905134122
49,49,0.006925456856529046,0.0053231231997784975,10.005793875667937
50,50,0.14346009315029903,-0.0037987348574066554,9.919563924810426
51,51,0.7943061208970328,0.009092091820120503,10.012041554164515
52,52,0.9796656211227358,-0.00040885735045744767,10.018283376075134
53,53,1.0131811389238734,-0.003963645443885707,10.014744513187926
54,54,1.0057969637687405,0.004315256712035724,10.014886623328785
55,55,1.0017217639851523,0.007315659511723315,10.009991078496423
